timestamp,action,symbol,side,amount,price,realized_pnl,reason,balance_after
2025-08-26T18:38:25.237844,close,AVAX/USDT,sell,1.781855,23.547,1.0960787,TP,228.54797872
2025-08-26T18:38:26.342280,open,AVAX/USDT,buy,2.44405,23.378,,open,171.35384082
2025-08-26T18:38:27.286550,close,AVAX/USDT,buy,2.44405,23.181,-0.53837411,opposite_signal,228.00936387
2025-08-26T18:38:28.306267,open,AVAX/USDT,sell,2.459011,23.181,,open,170.95002755
2025-08-26T18:38:29.184433,close,AVAX/USDT,sell,2.459011,23.49,-0.81721665,opposite_signal,228.71219594
2025-08-26T18:38:30.148696,open,AVAX/USDT,buy,2.434144,23.49,,open,171.47697533
2025-08-26T18:38:30.901346,close,AVAX/USDT,buy,2.434144,23.32,-0.47077562,opposite_signal,228.24121341
2025-08-26T18:38:31.984385,open,AVAX/USDT,sell,2.44684,23.32,,open,171.12384431
2025-08-26T18:38:32.987613,close,AVAX/USDT,sell,2.44684,23.495,-0.48547141,opposite_signal,228.61235011
2025-08-26T18:38:34.009793,open,AVAX/USDT,buy,2.432564,23.495,,open,171.40210583
2025-08-26T18:38:34.767958,close,AVAX/USDT,buy,2.432564,23.374,-0.35134617,opposite_signal,228.26085677
2025-08-26T18:38:35.663864,open,AVAX/USDT,sell,2.441397,23.374,,open,171.13857808
2025-08-26T18:38:36.579762,close,AVAX/USDT,sell,2.441397,23.343,0.01865594,opposite_signal,228.12810825
2025-08-26T18:38:37.420412,open,AVAX/USDT,buy,2.443218,23.343,,open,171.03903844
2025-08-26T18:38:38.485679,close,AVAX/USDT,buy,0.610804,23.508,0.08647427,partial_0.5R,185.39781887
2025-08-26T18:38:39.402761,close,AVAX/USDT,buy,1.832414,23.686,0.5854297,TP,228.80037687
2025-08-26T18:38:40.413725,open,AVAX/USDT,sell,2.433632,23.504,,open,171.54309026
2025-08-26T18:38:41.329147,close,AVAX/USDT,sell,2.433632,23.835,-0.86313504,opposite_signal,229.54870898
2025-08-26T18:38:42.231072,open,AVAX/USDT,buy,2.407685,23.835,,open,172.10414983
